316,actions,learn,learn,"discover,find out,read,research,study"
317,actions,leave,leave,"depart,exit,go"
318,actions,let,let,",give,lend,provide"
319,actions/eating,lick,lick,eat ice cream
320,actions,lie,lie,fib
321,actions,lie_down,lie down,"nap,relax,rest,unwind"
322,actions,lie_down2,lie down,"nap,relax,rest,unwind"
323,actions,lift,lift,"lifted,lifting,lifts,move,pick up,raise"
324,actions,lift2,lift,"lifted,lifting,lifts,move,pick up,raise"
325,actions,light_bulb_on,turn on,"bulb,light,on"
326,actions,light_candle,light candle,ignite
327,actions,light_match,light match,"ignite,spark,strike"
328,actions,light_off,turn off,light
329,actions,like,like,"admire,adore,dear,enjoy,liked,likes,love"
330,actions,limit,limit,"cap,enough,maximum,restrict,stop"
331,actions,line_draw,draw line,"boundary,straight"
332,actions,line_up,line up,"file,order"
333,actions,listen,listen,"eavesdrop,hear,heard,hearing,hears"
334,actions,listen2,listen,"eavesdrop,hear"
335,actions,listen_to_music,listen,",headphones,hear,music"
337,actions,litter,litter,"pollute,rubbish,waste"
338,actions,live,live,"home,reside,residence"
339,actions,loan,loan,"lend,provide"
340,actions,look,look,"looked,looks,see,spot,stare,watch"
341,actions,look2,look,"glance,see,spot,watch"
342,actions,look3,look,"looked,looking,looks,search,spot,watch"
343,actions/grooming,look_in_mirror,look in mirror,
344,actions/grooming,loosen,loosen belt,
345,actions,lose,lose,"beaten,defeated,lost"
346,actions,lose2,lose,"beaten,defeated,last,loser"
347,actions,love,love,"admire,adore,affection,fall in love,passion"
348,actions,love_fall_in_love,love,"admire,adore,affection,fall in love,passion"
349,actions,lower_feet,lower feet,
350,actions,lower_head,lower head,
351,actions,machine_grind,grind,"mill,mince,pulverise"
352,actions,make,make,"build,built,construct,create,made,makes,making,produce,produced,production"
353,actions/cleaning,make_bed,make bed,
354,actions,march,march,"drill,parade"
355,actions,marked_tagged,mark,"price,tag,tagged"
356,actions,marry,marry,"bride,groom,marriage,wed,wedding"
357,actions,marry2,marry,"bride,groom,marriage,wed,wedding"
358,actions,may_word,may,
359,actions,mean_irregular_verb,mean,"means,meant"
360,actions,measure,measure,"distance,size"
361,actions,measure2,measure,
362,actions,meet_shake_hands,meet,"acknowledge,address,greet,partners,shake hands,welcome"
363,actions,meet_shake_hand_2,meet,"greet,shake hands"
364,actions,melt_ice,melt,"defrost,dissolve,ice cube,thaw"
365,actions,melt_ice_cream,melt,"ice cream,thaw"
366,actions,miss,miss,"alone,lonely"
